,Post_By,Post_Link,Post_Date,is_verified,Post_Type,Video_views,Post_likes
0,21savage,/CAZosKfBUQh/,MAY 20,True,Photo,,"298,252"
1,21savage,/B_0oQE4hFy7/,MAY 5,True,Photo,,"295,900"
2,21savage,/B_0Wu0pBzuM/,MAY 5,True,video,"501,628","96,038"
3,21savage,/B_s9F7jhigY/,MAY 2,True,Photo,,"837,138"
4,21savage,/B_dT6FPBYsq/,APRIL 26,True,Photo,,"1,447,561"
5,21savage,/B-p-yOMhz3F/,APRIL 6,True,Photo,,"866,655"
6,21savage,/B-VZ8jNhuaa/,MARCH 29,True,Photo,,"1,342,284"
7,21savage,/B9Aqljahpa6/,FEBRUARY 25,True,Photo,,"955,200"
8,21savage,/B890uNLBy18/,FEBRUARY 24,True,Photo,,"278,954"
9,21savage,/B7zz9ZhhmGW/,JANUARY 26,True,Photo,,"1,013,361"
10,21savage,/B7zBva6hXwr/,JANUARY 26,True,Photo,,"1,181,237"
11,21savage,/B7hLEu8B5qb/,JANUARY 19,True,Photo,,"873,246"
12,21savage,/B7USPPlhmYo/,JANUARY 14,True,Photo,,"1,003,378"
13,21savage,/B6y9Z2_BfV3/,JANUARY 1,True,Photo,,"1,071,925"
14,21savage,/B5wAuJYBG0m/,"DECEMBER 6, 2019",True,Photo,,"1,425,863"
15,21savage,/B5DxOSHBroq/,"NOVEMBER 19, 2019",True,Photo,,"870,704"
16,21savage,/B4dEljyBD9I/,"NOVEMBER 4, 2019",True,Photo,,"657,402"
17,21savage,/B4Vt5BwBvxK/,"NOVEMBER 1, 2019",True,Photo,,"860,263"
18,21savage,/B4BOwAHhWEY/,"OCTOBER 24, 2019",True,Photo,,"868,715"
19,21savage,/B30G6ALhAee/,"OCTOBER 19, 2019",True,Photo,,"851,372"
20,21savage,/B2pCIEqhNkY/,"SEPTEMBER 20, 2019",True,Photo,,"946,965"
21,21savage,/B2S5LAFBjpY/,"SEPTEMBER 11, 2019",True,Photo,,"1,099,428"
22,21savage,/B2KbzZohktV/,"SEPTEMBER 8, 2019",True,Photo,,"902,080"
23,21savage,/B01anc4BHFh/,"AUGUST 6, 2019",True,video,"4,397,121","1,149,921"
24,21savage,/B0unI8BhFSl/,"AUGUST 3, 2019",True,Photo,,"1,136,719"
25,21savage,/ByRBkv9Buv3/,"JUNE 3, 2019",True,Photo,,"1,274,964"
26,21savage,/Bw0oZuPHTOJ/,"APRIL 28, 2019",True,Photo,,"1,394,906"
27,21savage,/BvugNVPnAIw/,"APRIL 1, 2019",True,Photo,,"957,442"
28,21savage,/Bt6gyyHHUGF/,"FEBRUARY 15, 2019",True,Photo,,"2,004,419"
29,21savage,/BtkWNKSnRUE/,"FEBRUARY 6, 2019",True,Photo,,"883,090"
30,21savage,/BtUZBbyjToD/,"JANUARY 31, 2019",True,video,"3,562,207","704,742"
31,21savage,/BtUGlDzH1QZ/,"JANUARY 31, 2019",True,Photo,,"789,486"
32,21savage,/BsokzJanXSP/,"JANUARY 14, 2019",True,Photo,,"1,422,434"
33,21savage,/Br3ddCsnJjA/,"DECEMBER 26, 2018",True,Photo,,"772,182"
34,21savage,/BryzhXpDiya/,"DECEMBER 24, 2018",True,video,"4,945,617","669,161"
35,21savage,/BrtLYMeH8mN/,"DECEMBER 22, 2018",True,Photo,,"744,056"
36,21savage,/BrqArgDHbGB/,"DECEMBER 21, 2018",True,Photo,,"921,554"
37,21savage,/BroxsBUHCVz/,"DECEMBER 20, 2018",True,Photo,,"747,871"
38,21savage,/Bqv2AwUnzOk/,"NOVEMBER 28, 2018",True,Photo,,"956,622"
39,21savage,/Bp-a7eoHsje/,"NOVEMBER 9, 2018",True,Photo,,"843,020"
40,21savage,/BphhDR9DCkb/,"OCTOBER 29, 2018",True,Photo,,"575,067"
41,21savage,/BpIPvrxDaZJ/,"OCTOBER 19, 2018",True,Photo,,"950,787"
42,21savage,/BofLIOLjq-I/,"OCTOBER 3, 2018",True,Photo,,"861,618"
43,21savage,/BnhRsGlDqV4/,"SEPTEMBER 9, 2018",True,Photo,,"1,040,896"
44,21savage,/Bm4aqWej-eH/,"AUGUST 24, 2018",True,Photo,,"1,201,031"
45,21savage,/Bmv8r-CjVAh/,"AUGUST 21, 2018",True,video,"3,616,267","839,397"
46,21savage,/BmEV-Q9DqD4/,"AUGUST 4, 2018",True,Photo,,"1,288,994"
47,21savage,/BlzhyA6jTsm/,"JULY 28, 2018",True,Photo,,"845,613"
48,21savage,/BlbImlSjXPe/,"JULY 19, 2018",True,Photo,,"519,415"
49,21savage,/BlMw8BwHCuk/,"JULY 13, 2018",True,video,"2,019,575","283,725"
50,21savage,/BktigYXjR_n/,"JULY 1, 2018",True,Photo,,"916,294"
51,21savage,/Bkix1Z8nc72/,"JUNE 27, 2018",True,Photo,,"574,900"
52,21savage,/BkDYaxSD1OG/,"JUNE 15, 2018",True,Photo,,"942,769"
53,21savage,/BjiPeMHDe8L/,"JUNE 2, 2018",True,Photo,,"719,370"
54,21savage,/BjLoa0xDRhl/,"MAY 24, 2018",True,video,"6,869,861","738,319"
55,21savage,/BiU9dRCDUa4/,"MAY 3, 2018",True,Photo,,"925,650"
56,21savage,/BiDo7pGDwa4/,"APRIL 26, 2018",True,Photo,,"702,787"
57,21savage,/Bh9r6Y5DZ_m/,"APRIL 24, 2018",True,Photo,,"778,830"
58,21savage,/Bhr8Lp8DPOB/,"APRIL 17, 2018",True,Photo,,"765,752"
59,21savage,/BhUZw_cjCjD/,"APRIL 8, 2018",True,Photo,,"986,019"
60,21savage,/BhKQpAYD_Xv/,"APRIL 4, 2018",True,Photo,,"834,967"
61,21savage,/BhDPZpSj1XK/,"APRIL 1, 2018",True,Photo,,"1,060,433"
62,21savage,/Bgwshqcj0le/,"MARCH 25, 2018",True,Photo,,"762,375"
63,21savage,/BgZYebFH0DB/,"MARCH 16, 2018",True,Photo,,"694,744"
64,21savage,/BgKXpaNHaE0/,"MARCH 10, 2018",True,Photo,,"838,697"
65,21savage,/BfP0tGnH8ce/,"FEBRUARY 15, 2018",True,Photo,,"704,132"
66,21savage,/Be405MoHP9n/,"FEBRUARY 6, 2018",True,Photo,,"526,563"
67,21savage,/Bev8dEGnjOO/,"FEBRUARY 3, 2018",True,Photo,,"787,897"
68,21savage,/Bej63CjDaMy/,"JANUARY 29, 2018",True,Photo,,"993,292"
