,Post_By,Post_Link,Post_Date,is_verified,Post_Type,Video_views,Post_likes
0,travisscott,/CA7O92VpwK0/,17 HOURS AGO,True,Photo,,"1,777,516"
1,travisscott,/CA3xm7WJBuX/,2 DAYS AGO,True,Photo,,"1,616,442"
2,travisscott,/CAvd7q6pQqL/,5 DAYS AGO,True,video,"5,582,373","1,704,012"
3,travisscott,/CAvc0w5JqUe/,5 DAYS AGO,True,Photo,,"3,277,401"
4,travisscott,/CAflYcSJjF5/,MAY 22,True,Photo,,"1,071,959"
5,travisscott,/CAfkN-UpMuI/,MAY 22,True,video,"2,212,684","651,351"
6,travisscott,/CAfkE0EJ8BH/,MAY 22,True,Photo,,"1,731,039"
7,travisscott,/CAfiU23p58y/,MAY 22,True,Photo,,"556,561"
8,travisscott,/CAOS3MPJmUI/,MAY 15,True,Photo,,"2,171,835"
9,travisscott,/CACMJ7GpSL0/,MAY 10,True,Photo,,"2,386,859"
10,travisscott,/CACLt4ZpH-1/,MAY 10,True,Photo,,"3,106,283"
11,travisscott,/B_xt-fEpSB1/,MAY 4,True,Photo,,"2,960,265"
12,travisscott,/B_nJzwvJYR6/,APRIL 30,True,Photo,,"3,818,641"
13,travisscott,/B_WaUejJkGh/,APRIL 23,True,Photo,,"2,434,332"
14,travisscott,/B_V4Uitpmvr/,APRIL 23,True,Photo,,"2,552,072"
15,travisscott,/B_VvjcvJnxb/,APRIL 23,True,Photo,,"4,011,333"
16,travisscott,/B-8eaYVJj1E/,APRIL 13,True,Photo,,"1,386,190"
17,travisscott,/B-dHw2lpYt-/,APRIL 1,True,video,"5,100,594","1,402,949"
18,travisscott,/B-LCJ29JSkN/,MARCH 25,True,Photo,,"2,381,658"
19,travisscott,/B-LB5G8JA44/,MARCH 25,True,Photo,,"1,172,056"
20,travisscott,/B-LAb2jJvlI/,MARCH 25,True,Photo,,"1,638,014"
21,travisscott,/B-IfxxHpW3u/,MARCH 24,True,Photo,,"2,701,585"
22,travisscott,/B-IcYA0JEKO/,MARCH 24,True,Photo,,"3,356,975"
23,travisscott,/B9-nvGBplFK/,MARCH 20,True,Photo,,"2,064,643"
24,travisscott,/B992JZOJq1Z/,MARCH 20,True,Photo,,"2,521,706"
25,travisscott,/B99zgeMJLnn/,MARCH 20,True,video,"9,457,661","2,380,058"
26,travisscott,/B9rlIqUJWjY/,MARCH 13,True,Photo,,"837,295"
27,travisscott,/B9rkjKaJgBl/,MARCH 13,True,Photo,,"2,149,116"
28,travisscott,/B9pj9vcpHXq/,MARCH 12,True,Photo,,"2,409,222"
29,travisscott,/B9kFB99Jn7d/,MARCH 10,True,Photo,,"1,280,677"
30,travisscott,/B9c4h3jp9sx/,MARCH 7,True,Photo,,"1,436,913"
31,travisscott,/B9a748vpwRb/,MARCH 6,True,Photo,,"2,664,772"
32,travisscott,/B9a7nPepdPF/,MARCH 6,True,Photo,,"1,291,373"
33,travisscott,/B9Z6acZJK-c/,MARCH 6,True,Photo,,"1,522,718"
34,travisscott,/B9SeY9uJqnM/,MARCH 3,True,Photo,,"1,911,943"
35,travisscott,/B9SeGOrp8Km/,MARCH 3,True,Photo,,"3,277,412"
36,travisscott,/B9SdcAqpt1-/,MARCH 3,True,Photo,,"1,445,779"
37,travisscott,/B8-eYexp-GW/,FEBRUARY 24,True,Photo,,"2,086,477"
38,travisscott,/B85FktjJ5ZF/,FEBRUARY 22,True,Photo,,"2,172,136"
39,travisscott,/B847fp8JPhv/,FEBRUARY 22,True,Photo,,"2,369,694"
40,travisscott,/B84U4FopmjH/,FEBRUARY 22,True,Photo,,"1,533,187"
41,travisscott,/B84TRyTJhUu/,FEBRUARY 22,True,video,"4,374,438","1,209,509"
42,travisscott,/B82qdA3pbx2/,FEBRUARY 21,True,Photo,,"1,707,756"
43,travisscott,/B8xZsj2pF4x/,FEBRUARY 19,True,Photo,,"2,220,373"
44,travisscott,/B8xZgW3Jo4f/,FEBRUARY 19,True,Photo,,"1,675,595"
45,travisscott,/B8k2DZGpdpd/,FEBRUARY 14,True,Photo,,"3,089,665"
46,travisscott,/B8iPP6spjKH/,FEBRUARY 13,True,Photo,,"1,324,072"
47,travisscott,/B8Zbcu0pyyz/,FEBRUARY 10,True,Photo,,"2,665,196"
48,travisscott,/B8Klt92JH-n/,FEBRUARY 4,True,Photo,,"1,901,910"
49,travisscott,/B8KleqlJxls/,FEBRUARY 4,True,Photo,,"1,648,618"
50,travisscott,/B8DZ6hqJ4kF/,FEBRUARY 1,True,Photo,,"6,020,791"
51,travisscott,/B7y-CXZpqnF/,JANUARY 26,True,Photo,,"3,946,762"
52,travisscott,/B7cd7p1JHhp/,JANUARY 17,True,Photo,,"2,615,239"
53,travisscott,/B7ZP5ggpzth/,JANUARY 16,True,Photo,,"3,082,599"
54,travisscott,/B7NjZCKJ-Lu/,JANUARY 11,True,Photo,,"1,681,175"
55,travisscott,/B7CgB4jJJrz/,JANUARY 7,True,Photo,,"2,051,690"
56,travisscott,/B7CfUv6JK_a/,JANUARY 7,True,Photo,,"863,418"
57,travisscott,/B7Ce2GmptdN/,JANUARY 7,True,Photo,,"1,911,170"
58,travisscott,/B6xv1ZvJT1K/,JANUARY 1,True,Photo,,"1,078,176"
59,travisscott,/B6teW7cJzZb/,"DECEMBER 30, 2019",True,Photo,,"2,236,693"
60,travisscott,/B6teOU0p3x2/,"DECEMBER 30, 2019",True,Photo,,"1,182,979"
61,travisscott,/B6tdh03JZbh/,"DECEMBER 30, 2019",True,Photo,,"1,511,315"
62,travisscott,/B6maVOfJBHl/,"DECEMBER 27, 2019",True,Photo,,"1,806,185"
63,travisscott,/B6maBQlpX8M/,"DECEMBER 27, 2019",True,Photo,,"2,081,690"
64,travisscott,/B6mY0_AJfn-/,"DECEMBER 27, 2019",True,Photo,,"1,675,597"
65,travisscott,/B6mUzAGp8pn/,"DECEMBER 27, 2019",True,Photo,,"1,842,584"
66,travisscott,/B6mMPfhp25N/,"DECEMBER 27, 2019",True,Photo,,"1,116,719"
67,travisscott,/B6kFPKypVbQ/,"DECEMBER 26, 2019",True,Photo,,"2,100,801"
68,travisscott,/B6j70A5JSsU/,"DECEMBER 26, 2019",True,Photo,,"1,389,840"
69,travisscott,/B6jWoJcJ_oD/,"DECEMBER 26, 2019",True,Photo,,"3,052,212"
70,travisscott,/B6eRXWUJ027/,"DECEMBER 24, 2019",True,video,"4,025,553","1,204,991"
71,travisscott,/B6eQ6H7pJ5_/,"DECEMBER 24, 2019",True,Photo,,"2,553,589"
72,travisscott,/B6En_hnpyoq/,"DECEMBER 14, 2019",True,video,"3,604,901","1,052,694"
73,travisscott,/B6CKii0J-e5/,"DECEMBER 13, 2019",True,Photo,,"2,170,066"
74,travisscott,/B5vOqIhJHQS/,"DECEMBER 6, 2019",True,Photo,,"2,135,607"
75,travisscott,/B5vMGp1J3LM/,"DECEMBER 6, 2019",True,Photo,,"1,308,970"
76,travisscott,/B5o-a9BpoOe/,"DECEMBER 3, 2019",True,Photo,,"2,707,011"
77,travisscott,/B5ol1bmJ3_8/,"DECEMBER 3, 2019",True,Photo,,"1,788,621"
78,travisscott,/B5nqreWplf7/,"DECEMBER 3, 2019",True,Photo,,"2,499,135"
79,travisscott,/B5ebR0IJwxN/,"NOVEMBER 29, 2019",True,Photo,,"1,124,558"
80,travisscott,/B5btc-Ppzyb/,"NOVEMBER 28, 2019",True,Photo,,"2,804,388"
81,travisscott,/B5Rn7lepwN7/,"NOVEMBER 24, 2019",True,Photo,,"1,745,558"
82,travisscott,/B5Mt0oAJ_Ch/,"NOVEMBER 22, 2019",True,Photo,,"1,704,073"
83,travisscott,/B5MsqDBp0dQ/,"NOVEMBER 22, 2019",True,Photo,,"2,372,890"
84,travisscott,/B5BELvLprUE/,"NOVEMBER 18, 2019",True,Photo,,"2,336,190"
